Index,Year,Aruba,Africa Eastern and Southern,Afghanistan,Africa Western and Central,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czechia,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People's Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkiye,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Viet Nam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1,1960,,18478095142,537777811.1,10411646287,,,,,,,,,,18606562977,6592693841,,195999990,11658722591,226195578.4,330442815.8,4274894083,,,169803921.6,,,28072478.07,84466652.59,373250000,,,,,30411413.66,112155598.5,40461721693,,9522746719,,4110000000,59716249311,546203558.5,614206068.5,,131731862.8,4031152977,,,507513830,1880323270,,,,,,,,,,672399700,2723615451,81012790664,1.36E+11,1.55E+11,,,2069464937,,2.45E+11,,12072126075,,,,,5224102196,112328422.1,62225478001,,,141468977.8,73233967692,,1223943662,,,,,,4335186017,,,1043599900,,170216241.1,1.07E+12,1320796652,335650000,15152664082,,273187199.8,,3.22E+11,3.59E+11,36335206183,12062060259,,25771325626,,37029883876,,1939329775,4199134390,1683918766,248434097,2598500000,40385288344,699064380.4,,44307342950,,791265459.5,,637142865.7,,12366635.75,3958811881,,,,,,,,,,,,1409873950,88053021489,3.35E+11,34579986.17,2.28E+11,,703925705.9,,,,2037154742,,,673081724.8,,,13040000000,,3.25E+11,,,,545098463.8,,,,,,,,,1916229477,5.84E+11,,,449526873.3,4196174502,,12276734172,5163271598,508334414,,5485854792,1.07E+12,,,3749265015,537147100,,7515894111,,230496036.9,,18443988246,1691900000,,3193200404,,,,1.05E+12,,,,,119000024,47147779567,,1127011494,1003692370,704751700.3,,322151470.6,,,180459936.8,,28338509355,,28349301535,,,99650000,,,15822585034,35076845.97,,12012024.62,857704413.4,,313582728.1,80911608954,,121128072.6,2760750861,,,,,,,47147779567,28349301535,535670127.7,,7566666667,,,423008385.7,,2.36E+11,1208333333,5.43E+11,,13066634,7663938303,,,,,1.38E+12,,,,8748596501,713000000,1052990400
2,1961,,19366314294,548888895.6,11135924728,,,,,,,,,,19682883149,7311749633,,202999992,12400145222,235668220.5,350247234.3,4817580375,,,190098039.2,,,29964999.97,89249985.13,406000000,,,,,32902612.87,123134583.5,40934952064,,10712712465,,4829238095,50056685957,618245635.1,652777608.3,,151675738.9,4540447761,,,490325181.6,2038320110,,,,,,,,,,654100200,2434747056,71458883065,1.45E+11,1.55E+11,,,1753850955,,2.69E+11,,13834300571,,,,,5921659485,116987784.9,67461644222,,,167637907.1,77741965703,,1309859155,,,,,,4961400439,,,1076699900,,185849535.4,1.13E+12,1383681651,356200000,16021940791,,271065999.8,,3.18E+11,3.58E+11,38920664574,12908490535,,27620719423,,39232435784,,2088012282,4426949095,1831479827,253885656.3,3138500000,44842760293,748043500.8,,53508617739,,792959472.8,,642857134.3,,12483302.13,2417628737,,,,,,,,,,,,1444327731,93212358127,3.31E+11,35699985.72,2.08E+11,,704145671.4,,,,2025693540,,,699161944.6,,,14160000000,,3.21E+11,,,,605581577.3,,,,,,159213430.2,,,1901856123,6.04E+11,,,485785231,4467287893,,13493833740,5632460937,531959561.2,,5670064168,1.14E+12,,,4118647627,599026300,,8171194425,,244832039.2,,19533547184,1865100000,,3417516639,,,,1.11E+12,,,,,122000016,50307314799,,1223563218,1058975257,764629788.1,,327979248.4,,,191659914.4,,29950396735,,29960492453,,,107700000,,,17212686615,43026042.79,,11592023.76,945244972.1,,333975336.1,71369633801,,126396468.7,3034037811,,,,,,,50307314799,29960492453,584961208.7,,7988888889,,,441524109,,2.20E+11,1600000000,5.63E+11,,13999965,8067267031,,,,,1.45E+12,,,,9225996310,696285714.3,1096646600
3,1962,,20506467178,546666677.8,11951712282,,,,,,,,,,19922563188,7756110210,,213500006,13264015675,236434954,379567099.2,5081413542,,,212254902,,,31857591.86,94149984.31,443916666.7,,,,,35644956.64,124482773.8,42227447632,,11879982759,,5631285444,47209186415,645284474.6,694247864.4,,166521239.7,4955538219,,,479180824.3,2153914776,,,,,,,,,,824100000,2001444544,65257525577,1.49E+11,1.58E+11,,,1518207704,,2.99E+11,,16138545209,,,,,6340580854,122906435,75607529810,,,182796536.3,81247564157,,1390140845,,,,,9122751.453,5213047711,,,1143600000,,194949512.6,1.22E+12,1612346412,387750000,16845051102,,281896799.8,,3.22E+11,3.66E+11,41208521043,13804264744,,29065395253,,42161481858,,2260349684,4693566416,1954399498,284916516.2,2510000000,50383891899,777727688.9,,60723018684,,868111400.8,,660000008.6,,12541635.31,2814615385,,,,,,,,,,,,1434156379,94672762191,3.35E+11,41859983.26,2.08E+11,,741509480.8,,,,2379611125,,,739286907.6,,,15200000000,,3.24E+11,,,,634528851.5,,,,,,164271557.6,,,2001489602,6.47E+11,,,531736599.3,4909399176,,14647057370,6066976683,574091100.7,,6077496268,1.23E+12,,,4310163797,652120900,,4954593072,,261184041.8,,20834497522,2094400000,,3668222358,,,,1.19E+12,,,,,125000008,53695416446,,1329022989,1085475791,826239211.8,,342872712.4,,,203531927.5,,31892681912,,31903784358,,,116150000,,,18667251380,45927961.63,,12642025.92,1110565881,,357635713.4,65176021559,,132237468.1,3308912797,,,,,,,53695416446,31903784358,619319197.3,,8922222222,,,449012578.6,,2.22E+11,1763636364,6.05E+11,,14524963.69,8814309884,,,,,1.55E+12,,,,9813996074,693142857.1,1117601600
4,1963,,22242734491,751111191.1,12685805890,,,,,,,,,,21539843446,8374175258,,232749998,14260017387,253927697.3,394040667.1,5319458563,,,237745098,,,33750113.75,96366650.61,478000000,,,,,38091842.85,129379123.8,45029988561,,13063643796,,5591307028,50706614526,761047199,718320845,,172233430.7,4836166667,,,511902136.8,2290333704,,,,,,,,,,940799900,2702982018,70599611075,1.67E+11,1.77E+11,,,1824343870,,3.35E+11,,19074913948,,,,,6885920329,129454728.6,84759195106,,,154480244.1,86561961812,,1549295775,,,,,10840095.13,5895278024,,,1262800000,,175757893.9,1.32E+12,1935298266,410200000,18113653277,,294883399.8,,3.55E+11,4.00E+11,43299968848,14609998946,,30403212288,,48421923459,,2430843768,4928628018,1978199489,340061650.1,2992333333,57710743060,826706669.3,,69498131797,,926589349.4,,728571437.1,,12833301.25,3988461538,,,,,,,,,,,,1240672269,1.05E+11,3.69E+11,47039981.18,2.20E+11,,791140595.8,,,,2657252578,,,759345863.7,,,16960000000,,3.57E+11,,,,598998434.7,,,,,,168186297.2,,,2510110348,6.84E+11,,,586294878.7,5165590254,,15891241386,6510239503,496947904.4,,6638937283,1.32E+12,,,4630827383,722784500,,5505023238,,275968044.2,,22102222965,2333600000,,3905734460,,,,1.29E+12,,,,,128000000,60396894530,,1352011494,1122139862,917608012.5,,348700653.6,,,216145935.9,,34281348389,,34293676625,,,125950000,,,20204870630,54129438.35,,13923028.54,1200447408,,371767002.2,70511435007,,143255813.2,3540403457,,,,,,,60396894530,34293676625,678235373,,10355555556,,,516147798.7,,2.42E+11,1553333333,6.39E+11,,13708299.06,9608717288,,,,,1.67E+12,,,,10854195658,718714285.7,1159511700
5,1964,,24294329780,800000044.4,13848998669,,,,,,,,,,23801123808,9169983886,,260750008,15960106681,269819005.9,410321645,5386054833,,,266666666.7,,,36194586.19,107566648.7,538583333.3,,,,,41616347.79,142025078.7,49377522897,,14480556572,,5964195925,59708125204,921063326.3,776650176.9,,185693724.9,5973366667,,,542578367.2,2470286396,,,,,,,,,,1025599900,2909316435,81488124865,1.85E+11,2.03E+11,,,2244146103,,3.73E+11,,21343844644,,,,,7766655086,140032741.5,94007851047,,,215679855.3,94407558351,,1740845070,,,,,12712471.4,6669673257,,,1299099900,,194774513.1,1.44E+12,2206466461,457000000,19786049553,,325281199.7,,4.03E+11,4.50E+11,46330896492,15943425915,,32125445431,,56480289941,,2766608946,5379845648,2340239344,434267936.9,3405333333,63175417019,897949000.8,,81749006382,,998759334.5,,782857128.6,,13416633.13,3459019943,,,,,,,,,,,,1309747899,1.18E+11,4.20E+11,51939979.22,2.54E+11,,903158753.9,,,,2798345299,,,802482183.7,,,20080000000,,4.07E+11,,,,411419905.8,,,,,,224495743.8,,,2674423922,7.35E+11,,,582816396.4,5552931319,,18699380731,7159202706,496098775.3,,7274144351,1.45E+12,,,5204955901,776137500,,5953756195,,305312048.8,,24151909680,2570500000,,4235608178,,,,1.40E+12,,,,,129999994,69145880250,,1389080460,1188930645,894153311.4,,372012091.5,,,229529912.7,,37435388432,,37449073939,,,134400000,,,22532416750,64980554.01,,15393031.56,1339494267,,392247517.7,81386349483,,166104078.5,3889129942,,,,,,,69145880250,37449073939,711893367.6,,11177777778,,,589056603.8,,2.80E+11,1970588235,6.86E+11,,14758296.44,8192413793,,,,,1.83E+12,,,,11955995218,839428571.4,1217138000
6,1965,,26619560807,1006666638,14874755834,,,,,,,,,,25976164156,9994070616,,158994963,17371457608,289908680.4,422916789.7,5906636792,,,300392156.9,,,40110040.11,114339050.3,598333333.3,,,114039500.6,,45788696.33,150574795.4,54515179581,,15346741670,,6108679126,70436008642,919771228,814083265.5,,198318064,5760761905,,,592981162.3,2661011040,,,,,,,,,,888100000,3136284307,94903578451,1.99E+11,2.25E+11,,,2387047396,4948667540,4.08E+11,,24756958695,,,,,8589340019,147084750,1.02E+11,57954522.42,,226474285.8,1.02E+11,,2064788732,,,,,64748333.33,7689154053,,,1331399900,,213235294.1,1.56E+12,2435078534,508650000,21936940149,,353251799.7,,4.42E+11,4.94E+11,51170068157,17311888392,,35868600072,,59554854576,,2945704143,6197319929,,523694949.4,3663333333,67978153851,972159611.1,599759760.1,90950278258,,997919320.8,,868571428.6,,13593932.32,3120861499,2097199161,,,,,,,,,,,1698319328,1.27E+11,4.63E+11,54879978.05,2.89E+11,,921600736.3,,,,2948331090,,,833563473,,,21840000000,,4.49E+11,,,,367053111.3,23870832123,,,,,255340475,,,2956337669,7.98E+11,,159594492.5,673383510.8,5874537650,,21000586933,8058681060,735267081.7,,5654463586,1.57E+12,63279974.69,,5929231415,852485300,,6517349772,,344176055.1,,26109276424,2881500000,,4687464055,443587301.6,,,1.53E+12,176534588.4,,,,148799980,74260412305,,1447701149,1210058228,974644096.1,,359523809.5,877720000,,243725898,,40683899240,,40697444106,,,154150000,,,24795499686,70279971.89,,15603031.99,1329842435,,416926303.3,94785047708,,187300310.4,4388937649,,,,,23672607232,,74260412305,40697444106,736568861.9,991047619,11966666667,,,884502310,,3.15E+11,1893103448,7.44E+11,,15108295.56,8427777778,,,,,1.99E+12,,,,13068994772,1082857143,1311435800
7,1966,,28732792825,1399999967,15845575303,,,,,,,,,,27307844369,10887682273,,165444571.4,18651883472,302925235.2,433889766.2,6439687854,,,340000000,,,44450044.45,134173375.3,662500000,,,132757528,,51465655.39,157930018.1,61088384037,,16480058705,,7162633082,76720005492,1024102882,851112534.6,,220613582,5428518519,,,647305630.2,2888720384,,,,,,,,,11931739859,983900000,3039859187,1.04E+11,1.95E+11,2.52E+11,,7.38E+11,2429308639,5278005612,4.45E+11,,28721062242,,,,,9208524505,150603925.5,1.10E+11,64397131.08,,245849781.3,1.09E+11,,2138028169,,,44212081.35,,69110000,8591517944,,,1390700000,,228705882.4,1.71E+12,2489845017,549950000,23724564498,,368948599.7,,4.47E+11,5.04E+11,55257958919,18831144036,,38556110752,,45865462034,,3104034393,6789938672,,628893310.4,3980000000,73654870011,1096759561,657999736.8,1.06E+11,,1164519674,,914285714.3,,14469078.18,3929055144,2391199044,,,,,,,,,,,1751470588,1.17E+11,4.71E+11,56699977.32,3.13E+11,,968440149.5,,,,2876401297,,,900264584.6,,,24320000000,,4.56E+11,,,,293103482.4,24881410229,,,,,266533605.2,,,3143517944,8.76E+11,,164206536.4,702296078.6,6366917453,,22867203317,8696460205,906811943.8,,5863733231,1.72E+12,67759972.9,,6561108778,928833000,,7189017888,,390992062.6,,28560474639,3170500000,,5135387846,465888888.9,,,1.67E+12,215659453.6,,,,124525702.9,62444760598,,1485344828,1246908186,1096425608,,375630252.1,929520000,,257375897,,43678711712,,43692889579,,,190350000,,,26971486546,76859969.26,,16443033.71,1321204503,,432794921.7,1.04E+11,,216136231.4,5279230817,,,,,24674793433,,62444760598,43692889579,723735635.5,1040952381,14100000000,,,925381492.4,,3.45E+11,1805555556,8.15E+11,,16099959.75,8781333333,,,,,2.16E+12,,,,14211394315,1264285714,1281749500
8,1967,,31592963095,1673333418,14428492962,,,,,,,,,,30442724871,11579431669,,178297142.9,19992040788,306221953.1,450753923.5,7253575688,,,390196078.4,,,47431255.75,155102980.1,748250000,,,139029537.2,,58642354.09,163820513.6,65668655501,,17740013179,,7057478295,72881364882,1082922726,936175260,,237397428.1,5825170438,,,699456618.9,3102560431,,,,,,,,,13059064375,1034800000,3370870376,1.01E+11,2.12E+11,2.73E+11,,7.95E+11,2553595172,5605484299,4.83E+11,,31647119228,,,,,9368954010,162625885.9,1.19E+11,66225403.56,,271543680,1.13E+11,,1748837209,,,46695006.96,,72317446.93,9275600800,,,1453500000,,250176470.6,1.84E+12,2692474989,598100000,24575642157,,369124199.7,,4.64E+11,5.24E+11,57355088093,18927886746,5667756628,40825259867,,50134942204,,3343636773,7555383690,,621225962.2,4030000000,81133120065,1148014311,631679747.3,1.24E+11,,1232559507,,962857134.3,,16742338.25,4855892446,2441599023,,,,,,,,,,,1859465021,1.25E+11,4.90E+11,59261976.3,3.08E+11,,974721762.5,,,,3046345314,,,956436932.1,,,26560000000,,4.74E+11,,275494477.6,,420359035.9,26936465307,,,,,282615310.2,,,3188924677,9.28E+11,,180036767.6,665586872.3,5203237919,,25087562181,9514496703,841974025.5,,5961418094,1.85E+12,107151832.5,,7464510710,1034376400,,7724873935,,441728182.7,,28147580848,3532700000,,5740241166,492674603.2,,,1.80E+12,220984367.6,,,,159560018,68699960051,,1608333333,1246480766,1238035816,25203524.03,348895027.6,976200000,,271781886.8,,44666366525,,44680649550,,,220700000,,,29275995675,74759970.1,,16632032.13,1443717801,,449826322.6,1.01E+11,,231706439.7,5638461442,,,,,26712783206,,68699960051,44680649550,761981474,1085714286,15644444444,,,967240655.2,,3.52E+11,1597142857,8.62E+11,,15835106.03,9250000000,,,,,2.31E+12,,,,15821393671,1368000000,1397002000
9,1968,,34216506004,1373333367,14880501861,,,,35102917960,,,,,,32714085234,12440625313,,183200000,21376353113,326323105.3,460442689.4,7483685771,,,444901960.8,,,44999910,150000000,849333333.3,,,160818235.9,,66248441.42,191767441.6,71829810520,,18942729779,,7192102967,70846276051,1281281278,1046191218,,251247457.8,5960212869,,,773841494.3,3083640786,,,,,,,,,13505573867,1079100000,3852147027,1.02E+11,2.30E+11,3.01E+11,,8.32E+11,2582179864,5932242991,5.19E+11,,31475548481,,,,44702995409,8823033880,166952937.1,1.30E+11,65186666.67,,294468564.2,1.08E+11,,1666666667,,,41160065.86,,67514285.71,10090675903,,,1610500000,,229750000,1.99E+12,2716964388,646800000,25604378671,,367968799.7,,4.88E+11,5.51E+11,59780563021,19979704286,7076465300,42227317885,,53085455871,,3278584478,8623172960,2896598841,474399471.6,4619000000,87942231678,1083839133,561119775.6,1.47E+11,,1353295459,,1065714249,,14600000,6119394892,2662798935,,,,,,,,,,,1801344538,1.34E+11,5.15E+11,61445975.42,3.07E+11,,1066447131,,,,3271422333,,,1031669637,,44926460299,29360000000,,4.98E+11,,343771973,,559956141.5,29634802925,,,,,311395937.2,,,3330371551,1.01E+12,,215507162.6,641214226.2,5200997920,,27817605743,10159934137,772231413.9,,5180597621,2.00E+12,188879848.9,,8041999160,1112791100,,8632749269,,485184189.6,,29249077894,3941700000,,6354262628,517650793.7,,,1.95E+12,259590074.5,,,,172200018,72004816965,4187777711,1678735632,1309384862,1425706091,28084252.76,329991956.8,1009760100,,286719885.3,,47529437277,,47542735723,,,241350000,,,31066819929,79799968.08,,16074027.65,1562303429,,453980096.2,1.02E+11,,241956916.5,6081009428,,,,,29388713658,,72004816965,47542735723,758899950,1214666667,17500000000,,,1037379252,,3.66E+11,1592672414,9.43E+11,,15350000,10034444444,,,,,2.49E+12,,,,17124793150,1605857143,1479599900
10,1969,,38498685902,1408888922,16882284662,,,,38249920379,,,,,,36683365869,13582798556,,190205714.3,23710735895,330748244.5,478298645.4,8471006438,,,528137254.9,,,47399905.2,164900000,920333333.3,,,161210236.4,,77361546.51,188039210.1,79148411662,,20524886616,,8359596194,79705614855,1361360292,1100551489,,265040036.4,6450175214,,,853630203.8,3359757126,,,,,,,,,15414902267,1230500000,4257253264,1.15E+11,2.55E+11,3.47E+11,,9.20E+11,3112165727,6524455206,5.79E+11,,36038711600,,,,48810492502,10070766721,182182067.7,1.42E+11,70106666.67,,318124701.5,1.16E+11,,1961764706,,,45168072.27,,67225714.29,11615657031,,,1715399900,,249300000,2.19E+12,3189740055,668000050,27540605696,,391820399.7,,5.43E+11,6.12E+11,66287957708,22857671325,8337423313,45916675944,,58447995017,,3787077344,9743089607,3007758797,414709311.4,5329333333,97085082807,1191239047,698879720.4,1.72E+11,,1458379417,,978873232.4,,15850000,7678698838,2769198892,,,,,,,,,,,1965546218,1.48E+11,5.73E+11,65967973.61,3.44E+11,,1234878981,,,,3651622669,,,1056391056,,49719425358,32480000000,,5.55E+11,,339913867.1,,571854203.6,32879112734,,,,,295062308.5,,,3664552041,1.10E+12,,263108841.3,625867985.3,6634317346,,34035946604,11063065083,788641964.6,,5761588762,2.21E+12,239999808,,8683116338,1221305700,,9571800653,,551263864.2,,32413291916,4460700000,,6969025826,556293650.8,,,2.14E+12,242943783.1,,,,188700037,79157009447,4485777644,1848563218,1245234931,1659893768,28606411.4,408853541.4,1049400000,,306357284.6,,53638240891,,53651273745,,,259650000,,,33738102482,105419957.8,,16452028.3,1796596911,,471635621.6,1.14E+11,,267732473.2,6695336567,,,,,32606082514,,79157009447,53651273745,779200000,1289904762,19466666667,,,1168556629,,4.09E+11,2004435484,1.02E+12,,16650000,10285111111,,,,,2.75E+12,,,,19256992297,1965714286,1747998800
11,1970,,41938907716,1748886596,23504960312,,,78617711.1,43245967541,,,,,,41333606613,15373005557,,242732571.4,26706196047,333627713.5,458404268.8,8992722167,,,538423153.7,,,53339893.32,186300000,1006833333,,,179078929.3,,96243233.66,189106529.2,88192257632,,,,9144112431,92602634892,1455482795,1151216993,,274960699.9,7198360460,,,984830158.5,3695313511,5693005200,,,,,2.16E+11,,,17075457600,1485500000,4863526897,1.27E+11,2.72E+11,4.13E+11,,1.02E+12,2862503139,8042200452,6.43E+11,,40992995008,,,7.26E+11,61465995003,11357516988,219878482.2,1.48E+11,84933333.33,,323802475.5,1.31E+11,,2214705882,,,52296083.67,78733594.84,66331428.57,13139863636,,69520026.67,1904000000,,267800000,2.40E+12,3800766536,723000000,29377450920,,331199999.7,,5.92E+11,6.75E+11,78290322738,31420461401,9150684932,48516441044,,62422483055,,4395995086,10976245154,3281318687,526704545.5,,1.13E+11,1404720442,639519744.2,2.17E+11,,1603447359,,718401157.7,14295279.54,16300000,9005144969,2873638851,,,,,,,,,,90099360.84,2296470588,1.64E+11,6.32E+11,68739972.5,3.92E+11,,1457768455,,,,3956336244,293127333.2,,1111859571,,56209824352,35520000000,,6.13E+11,,359772315.1,250721821.6,563555620.5,37135228292,,,,,309405316.1,,,3864145667,1.16E+12,,358815684.1,649916621.2,12546094982,,38164716625,12814123115,865975307.8,,,2.41E+12,256319794.9,3136923992,10027509450,1351006400,,7559115517,,645568215.3,,41285104881,5034700000,,8108235704,594611111.1,,,2.35E+12,254036000.8,301791301.8,,,219900006,85695623709,5377268849,2101436782,1297407655,1920574150,,434584033.6,1132920000,,322600009.1,,64245417754,,64259538042,7870678391,,274900000,,,38092452061,112139955.1,,18432031.7,1780104712,,469266736.7,1.27E+11,,253976592.2,7086538438,,,,,36826855022,,85695623709,64259538042,821850000,1439238095,17863636364,,,1259554809,,4.51E+11,2137096774,1.07E+12,,18450000,11561111111,,,,,3.01E+12,,,,21218391513,1825285714,1884206300
12,1971,,45920167032,1831108971,20843326171,,,89406608.15,49980195755,,,,,,45216647235,17858486067,,252842285.7,29821661870,335073027.5,482411179.1,8751843188,,,573400000,,,59074687.2,211100000,1084666667,,,197525767.8,,127448613.5,201450799.8,99606454744,,,,10876091408,99800593791,1584128511,1236941394,,322128019,7820380971,,,1077147538,4017459620,6914658400,,,,,2.50E+11,,,19085731252,1666500000,5077183094,1.37E+11,2.94E+11,4.59E+11,,1.15E+12,2754219271,8609283346,7.28E+11,,46619420359,,,8.21E+11,61399014250,12527405513,247749327.7,1.66E+11,99219082.85,,381687072.6,1.48E+11,,2427184466,,,55728663.22,78540057.14,64946954.76,14591750000,,88466738.25,1984800000,,282050000,2.66E+12,4476001946,731000000,31104926325,,362799999.7,,6.42E+11,7.22E+11,77613970750,29181222031,9333536370,50631935423,,67351404352,,5098250287,13731802833,3865346535,670251136.4,,1.25E+11,1539861816,678159728.7,2.45E+11,,1778391289,,969911421.4,15278632.48,19624746.45,9903571249,3880392195,,,,,,,,,,104889795.3,2369308600,1.73E+11,6.74E+11,76480285,4.31E+11,,1518773421,,,,4356669034,327706210.4,,1199507631,,66524974899,39200000000,,6.53E+11,,395218628.9,264579879.8,587448416.5,42573853380,,,,,335568907.1,,,4244395956,1.26E+12,,413985778.6,693573703.6,9181769912,,44579122807,14583114840,882765470.7,,7911136757,2.67E+12,301010587.1,3723946506,10665896682,1523917200,,8375075630,,717750278.1,,39200444663,5646800000,,9201604240,664571428.6,,437447620.7,2.60E+12,296865513.7,387703105.5,,,222952504.4,91151981090,7184816838,2289655172,1339549033,2263785444,50056882.82,419495908.5,1186120000,,331104693,,64767693274,,64785881865,8854610885,,301000000,,,41566412923,136462080.7,,21965950.77,2097643979,,501866730.1,1.37E+11,,286537569.7,7375000024,,,,,42220317425,,91151981090,64785881865,896754316.7,1685162272,16166666667,,,1417191656,,4.83E+11,2807258065,1.16E+12,,20051922.33,12986590909,,,,,3.32E+12,,,,23411076638,1687000000,2178716300
13,1972,,49440744172,1595555476,25269456359,,,113414397.4,59593479017,,,,,,52040887850,22059612477,,246804571.4,37209418019,410331857,578595522,6288245867,,,590900000,,,65998069.38,235400000,1286153846,,,270822782,,164460915,230317883.4,1.13E+11,,,,11833904488,1.14E+11,1849400398,1498251890,,410669263.7,8671358733,,,1238251696,4639336765,8135150892,,,,,3.00E+11,,,23232379952,1987400000,6766743957,1.55E+11,3.23E+11,5.70E+11,,1.38E+12,3185986087,9299638056,8.80E+11,,59132415221,,,9.90E+11,70634250873,14743186120,316656648.7,2.03E+11,119335897.8,,430508358.5,1.70E+11,,2116541353,,,59160569.48,87702828.57,65429198.24,16885511364,,106101297.8,2101300000,,285380952.4,3.09E+12,5710090213,802996336.5,33778914293,,371998971.9,,7.22E+11,8.04E+11,80623120327,32766077738,10997590361,49439209546,,71463193831,,6318060582,17153463263,4113848002,839652164.1,,1.45E+11,1875146587,788479684.6,3.25E+11,,2107279157,,505549441.4,18936526.95,22944849.12,10862211761,4450537925,,,,,,,,,,124940289.3,2553936348,1.88E+11,7.53E+11,80913200.43,4.89E+11,,1901697370,,,,5074117545,402451900.8,,1341590690,,80586649211,45200000000,,7.30E+11,,486617280.3,295118249.3,662213096.3,50799908523,,,,,391669449.3,,,5043347250,1.39E+12,,506808996.7,742779660.8,12274416018,,54706557264,17358610850,1024098398,,9567331065,3.10E+12,366883548.3,4507178166,9415016360,1673411700,,9067815521,,858761926.1,,46020262918,6328900000,,11239117865,769039682.5,,525633065.4,3.02E+12,326433558.1,510262500.2,,,246457838.3,91635981395,9664177517,2484482759,1620857104,2721440981,40606712.05,465254432,1263720000,,416940943.6,,72947119235,,72974503608,10432558017,,311950000,,,48954145809,146736479.2,,30645122.92,2415706806,,585427546.8,1.55E+11,,335677600.9,8177873151,,,,,50378062888,,91635981395,72974503608,1083381044,2237556149,20650000000,,,1490970181,,5.52E+11,2188700565,1.28E+12,,27585804.87,13977727273,,,,,3.84E+12,,,,24515919217,1873249300,2677729400
